Trial 1: 20 episodes
Reward: 1050.0 | Runtime: 2.8284457999980077
Reward: 600.0 | Runtime: 35.356798099994194
Reward: 590.0 | Runtime: 37.43735919997562
Reward: 580.0 | Runtime: 37.08909169997787
Reward: 670.0 | Runtime: 2.6807350000017323
Reward: 660.0 | Runtime: 2.6903236999642104
Reward: 660.0 | Runtime: 2.6539936999906786
Reward: 650.0 | Runtime: 2.7019254999468103
Reward: 750.0 | Runtime: 13.979197400039993
Reward: 600.0 | Runtime: 35.73377280001296
Reward: 590.0 | Runtime: 36.177030400023796
Reward: 740.0 | Runtime: 2.8727638999698684
Reward: 660.0 | Runtime: 2.6030050999834202
Reward: 600.0 | Runtime: 35.73587309999857
Reward: 590.0 | Runtime: 35.77502900001127


Trial 7: 20 episodes
10,000 training episodes, still learned explorationReward: 1590.0 | Runtime: 2.8131899000145495

Reward: 1670.0 | Runtime: 2.766472499934025
Reward: 1670.0 | Runtime: 2.7936765999766067
Reward: 1670.0 | Runtime: 2.9811654000077397
Reward: 1650.0 | Runtime: 2.791844899998978
Reward: 1670.0 | Runtime: 2.9236670000245795
Reward: 1690.0 | Runtime: 2.7554516999516636
Reward: 1710.0 | Runtime: 2.8458881999831647
Reward: 1590.0 | Runtime: 2.748879500082694
Reward: 1670.0 | Runtime: 2.7383549000369385
Reward: 1610.0 | Runtime: 2.741909099975601
Reward: 1650.0 | Runtime: 2.742809500079602
Reward: 1650.0 | Runtime: 2.70477089995984
Reward: 1670.0 | Runtime: 2.814273099997081
Reward: 1690.0 | Runtime: 2.8090960000408813
Reward: 1670.0 | Runtime: 2.7298127999529243
Reward: 1660.0 | Runtime: 2.7717657999601215
Reward: 1660.0 | Runtime: 2.6924496999708936
Reward: 1670.0 | Runtime: 2.8191724999342114
Reward: 1610.0 | Runtime: 2.7113921999698505
